game_id,matchup,date,name,usage %,minutes,jokic_playing
0022500248,DEN vs. CHI,2025-11-17,Cameron Johnson,14.4,37,True
0022500287,DEN @ MEM,2025-11-24,Zeke Nnaji,14.39,15,True
0022500325,DEN @ IND,2025-12-03,Tim Hardaway Jr.,14.37,27,True
0022500212,DEN @ SAC,2025-11-11,Bruce Brown,14.31,27,True
0022500468,DEN @ TOR,2025-12-31,DaRon Holmes II,14.3,22,False
0022500600,DEN vs. WAS,2026-01-17,Jalen Pickett,14.26,22,False
0022500178,DEN vs. MIA,2025-11-05,Peyton Watson,14.25,18,True
0022500752,DEN @ CHI,2026-02-07,Cameron Johnson,14.22,27,True
0022500260,DEN @ NOP,2025-11-19,Cameron Johnson,14.21,32,True
0022500567,DEN @ NOP,2026-01-13,Jalen Pickett,14.18,29,False
0022500405,DEN vs. UTA,2025-12-22,Bruce Brown,14.16,27,True
0022500716,DEN @ DET,2026-02-03,Jonas Valančiūnas,14.04,22,True
0022500716,DEN @ DET,2026-02-03,Tim Hardaway Jr.,13.91,27,True
0022500386,DEN vs. HOU,2025-12-20,Cameron Johnson,13.9,32,True
0022500415,DEN @ DAL,2025-12-23,Peyton Watson,13.89,25,True
0022500600,DEN vs. WAS,2026-01-17,Aaron Gordon,13.83,32,False
0022500433,DEN @ ORL,2025-12-27,Spencer Jones,13.78,34,True
0022500008,DEN @ MIN,2025-10-27,Christian Braun,13.73,28,True
0022501225,DEN vs. HOU,2025-12-15,Tim Hardaway Jr.,13.7,40,True
0022500450,DEN @ MIA,2025-12-29,Jonas Valančiūnas,13.69,16,True
0022501208,DEN @ SAC,2025-12-11,Jalen Pickett,13.68,25,True
0022500507,DEN @ PHI,2026-01-05,DaRon Holmes II,13.62,21,False
0022500405,DEN vs. UTA,2025-12-22,Jalen Pickett,13.52,22,True
0022500386,DEN vs. HOU,2025-12-20,Bruce Brown,13.51,28,True
0022500189,DEN vs. IND,2025-11-08,Bruce Brown,13.49,24,True
0022500054,DEN @ HOU,2025-11-21,Peyton Watson,13.47,34,True
0022500008,DEN @ MIN,2025-10-27,Peyton Watson,13.46,25,True
0022500537,DEN vs. ATL,2026-01-09,Christian Braun,13.41,25,False
0022500377,DEN vs. ORL,2025-12-18,Cameron Johnson,13.39,36,True
0022500433,DEN @ ORL,2025-12-27,Peyton Watson,13.39,34,True
0022500575,DEN @ DAL,2026-01-14,Zeke Nnaji,13.35,17,False
0022500575,DEN @ DAL,2026-01-14,Bruce Brown,13.33,24,False
0022500178,DEN vs. MIA,2025-11-05,Bruce Brown,13.31,28,True
0022500520,DEN @ BOS,2026-01-07,Jalen Pickett,13.12,21,False
0022500617,DEN vs. LAL,2026-01-20,Bruce Brown,13.1,22,False
0022500104,DEN vs. PHX,2025-10-25,Peyton Watson,13.1,20,True
0022500377,DEN vs. ORL,2025-12-18,Jalen Pickett,13.07,24,True
0022500006,DEN @ GSW,2025-10-23,Cameron Johnson,13.06,32,True
0022500415,DEN @ DAL,2025-12-23,Cameron Johnson,13.05,24,True
0022500325,DEN @ IND,2025-12-03,Peyton Watson,13.02,36,True
0022500026,DEN @ POR,2025-10-31,Bruce Brown,12.99,20,True
0022500617,DEN vs. LAL,2026-01-20,Spencer Jones,12.98,37,False
0022500478,DEN @ CLE,2026-01-02,Bruce Brown,12.94,24,False
0022500726,DEN @ NYK,2026-02-04,Bruce Brown,12.87,38,True
0022500684,DEN vs. BKN,2026-01-29,Spencer Jones,12.85,15,False
0022500054,DEN @ HOU,2025-11-21,Cameron Johnson,12.84,32,True
